t[s],wx[rad/s],wy[rad/s],wz[rad/s],q1,q2,q3,q4
0,2,3,-4,0,0,0,1
0.001,1.9964,3.005,-3.9976,0.000999996,0.00149999,-0.00199999,0.999996
0.002,1.9928,3.00999,-3.9952,0.00199816,0.00300244,-0.00399871,0.999986
0.003,1.98919,3.01496,-3.9928,0.00299447,0.00450727,-0.00599607,0.999967
0.004,1.98558,3.01993,-3.9904,0.00398888,0.00601443,-0.007992,0.999942
0.005,1.98196,3.02488,-3.988,0.00498138,0.00752387,-0.00998641,0.999909
0.006,1.97834,3.02982,-3.98561,0.00597191,0.00903552,-0.0119792,0.99987
0.007,1.97472,3.03475,-3.98321,0.00696047,0.0105493,-0.0139704,0.999823
0.008,1.97109,3.03966,-3.98081,0.00794701,0.0120652,-0.0159598,0.999768
0.009,1.96746,3.04457,-3.97841,0.0089315,0.0135832,-0.0179475,0.999707
0.01,1.96383,3.04946,-3.97602,0.00991392,0.0151031,-0.0199332,0.999638
0.011,1.96019,3.05434,-3.97362,0.0108942,0.016625,-0.0219169,0.999562
0.012,1.95655,3.05921,-3.97123,0.0118724,0.0181487,-0.0238986,0.999479
0.013,1.95291,3.06406,-3.96883,0.0128484,0.0196742,-0.0258782,0.999389
0.014,1.94926,3.06891,-3.96644,0.0138222,0.0212015,-0.0278556,0.999292
0.015,1.94561,3.07374,-3.96405,0.0147938,0.0227304,-0.0298307,0.999187
0.016,1.94195,3.07856,-3.96166,0.0157631,0.024261,-0.0318035,0.999075
0.017,1.93829,3.08337,-3.95926,0.0167302,0.0257931,-0.0337739,0.998957
0.018,1.93463,3.08817,-3.95687,0.0176949,0.0273268,-0.0357418,0.998831
0.019,1.93096,3.09295,-3.95448,0.0186573,0.0288619,-0.0377071,0.998698
0.02,1.9273,3.09772,-3.95209,0.0196174,0.0303984,-0.0396697,0.998558
0.021,1.92362,3.10248,-3.94971,0.020575,0.0319362,-0.0416297,0.998411
0.022,1.91995,3.10723,-3.94732,0.0215302,0.0334754,-0.0435869,0.998256
0.023,1.91627,3.11197,-3.94493,0.0224829,0.0350157,-0.0455412,0.998095
0.024,1.91258,3.11669,-3.94255,0.0234332,0.0365572,-0.0474926,0.997927
0.025,1.9089,3.12141,-3.94016,0.0243809,0.0380998,-0.0494409,0.997752
0.026,1.90521,3.12611,-3.93778,0.0253261,0.0396435,-0.0513862,0.99757
0.027,1.90151,3.1308,-3.9354,0.0262688,0.0411881,-0.0533284,0.997381
0.028,1.89782,3.13547,-3.93302,0.0272088,0.0427337,-0.0552674,0.997186
